date_id,date,channel,spend
20160904,2016-09-04 00:00:00,Meta,1056.39
20160905,2016-09-05 00:00:00,Meta,1313.35
20160906,2016-09-06 00:00:00,Meta,1283.83
20160907,2016-09-07 00:00:00,Meta,1404.8
20160908,2016-09-08 00:00:00,Meta,1280.68
20160909,2016-09-09 00:00:00,Meta,1246.7
20160910,2016-09-10 00:00:00,Meta,1061.21
20160911,2016-09-11 00:00:00,Meta,878.05
20160912,2016-09-12 00:00:00,Meta,1342.79
20160913,2016-09-13 00:00:00,Meta,1190.86
20160914,2016-09-14 00:00:00,Meta,1382.83
20160915,2016-09-15 00:00:00,Meta,1214.87
20160916,2016-09-16 00:00:00,Meta,1144.08
20160917,2016-09-17 00:00:00,Meta,1092.92
20160918,2016-09-18 00:00:00,Meta,888.53
20160919,2016-09-19 00:00:00,Meta,1137.5
20160920,2016-09-20 00:00:00,Meta,1147.18
20160921,2016-09-21 00:00:00,Meta,1319.77
20160922,2016-09-22 00:00:00,Meta,1428.02
20160923,2016-09-23 00:00:00,Meta,1064.62
20160924,2016-09-24 00:00:00,Meta,838.16
20160925,2016-09-25 00:00:00,Meta,916.01
20160926,2016-09-26 00:00:00,Meta,1338.57
20160927,2016-09-27 00:00:00,Meta,1382.68
20160928,2016-09-28 00:00:00,Meta,1407.38
20160929,2016-09-29 00:00:00,Meta,1246.31
20160930,2016-09-30 00:00:00,Meta,1333.59
20161001,2016-10-01 00:00:00,Meta,1104.84
20161002,2016-10-02 00:00:00,Meta,1025.1
20161003,2016-10-03 00:00:00,Meta,1123.57
20161004,2016-10-04 00:00:00,Meta,1370.09
20161005,2016-10-05 00:00:00,Meta,1323.12
20161006,2016-10-06 00:00:00,Meta,1064.13
20161007,2016-10-07 00:00:00,Meta,1263.07
20161008,2016-10-08 00:00:00,Meta,1031.0
20161009,2016-10-09 00:00:00,Meta,926.12
20161010,2016-10-10 00:00:00,Meta,1379.53
20161011,2016-10-11 00:00:00,Meta,1338.41
20161012,2016-10-12 00:00:00,Meta,1416.46
20161013,2016-10-13 00:00:00,Meta,1428.78
20161014,2016-10-14 00:00:00,Meta,1067.68
20161015,2016-10-15 00:00:00,Meta,1142.7
20161016,2016-10-16 00:00:00,Meta,1028.45
20161017,2016-10-17 00:00:00,Meta,1251.6
20161018,2016-10-18 00:00:00,Meta,1332.85
20161019,2016-10-19 00:00:00,Meta,1464.5
20161020,2016-10-20 00:00:00,Meta,1420.25
20161021,2016-10-21 00:00:00,Meta,1280.09
20161022,2016-10-22 00:00:00,Meta,1084.21
20161023,2016-10-23 00:00:00,Meta,1131.54
20161024,2016-10-24 00:00:00,Meta,1358.19
20161025,2016-10-25 00:00:00,Meta,1435.98
20161026,2016-10-26 00:00:00,Meta,1447.76
20161027,2016-10-27 00:00:00,Meta,1320.78
20161028,2016-10-28 00:00:00,Meta,1078.8
20161029,2016-10-29 00:00:00,Meta,1087.11
20161030,2016-10-30 00:00:00,Meta,1051.45
20161031,2016-10-31 00:00:00,Meta,1292.34
20161101,2016-11-01 00:00:00,Meta,1158.1
20161102,2016-11-02 00:00:00,Meta,1250.75
20161103,2016-11-03 00:00:00,Meta,1098.9
20161104,2016-11-04 00:00:00,Meta,1161.46
20161105,2016-11-05 00:00:00,Meta,1094.98
20161106,2016-11-06 00:00:00,Meta,1015.88
20161107,2016-11-07 00:00:00,Meta,1127.88
20161108,2016-11-08 00:00:00,Meta,1085.77
20161109,2016-11-09 00:00:00,Meta,1479.42
20161110,2016-11-10 00:00:00,Meta,1226.32
20161111,2016-11-11 00:00:00,Meta,1377.28
20161112,2016-11-12 00:00:00,Meta,1144.63
20161113,2016-11-13 00:00:00,Meta,1186.72
20161114,2016-11-14 00:00:00,Meta,1163.71
20161115,2016-11-15 00:00:00,Meta,1357.4
20161116,2016-11-16 00:00:00,Meta,1338.0
20161117,2016-11-17 00:00:00,Meta,1333.25
